date,region,product,sales_rep,quantity,unit_price,discount_pct,revenue
2025-01-02,الرياض,شاشة,خالد,6,1130.41,5,6443.34
2025-01-03,القاهرة,طابعة,يوسف,4,727.5,5,2764.5
2025-01-03,دبي,لابتوب,يوسف,4,3475.85,15,11817.89
2025-01-04,الرياض,هاتف,أحمد,7,2338.01,10,14729.46
2025-01-06,القاهرة,هاتف,يوسف,4,2198.84,0,8795.36
2025-01-08,جدة,شاشة,أحمد,4,1125.28,0,4501.12
2025-01-12,القاهرة,طابعة,,8,776.92,15,5283.06
2025-01-14,الرياض,شاشة,يوسف,3,1158.82,0,3476.46
2025-01-15,القاهرة,هاتف,منى,8,2354.22,0,18833.76
2025-01-16,الدمام,طابعة,أحمد,7,752.99,0,5270.93
2025-01-16,الدمام,طابعة,منى,6,788.02,10,4255.31
2025-01-18,جدة,طابعة,خالد,7,729.92,0,5109.44
2025-01-18,دبي,شاشة,سارة,3,1242.21,0,3726.63
2025-01-20,القاهرة,سماعات,أحمد,8,391.57,0,3132.56
2025-01-21,الرياض,شاشة,أحمد,1,1328.06,0,1328.06
2025-01-21,دبي,طابعة,أحمد,6,910.62,10,4917.35
2025-01-22,القاهرة,لابتوب,خالد,2,3976.6,15,6760.22
2025-01-23,دبي,سماعات,خالد,3,386.69,0,1160.07
2025-01-25,جدة,سماعات,يوسف,5,336.74,15,1431.14
2025-02-01,دبي,شاشة,,6,1126.77,0,6760.62
2025-02-01,جدة,لابتوب,خالد,3,3529.58,0,10588.74
2025-02-03,الدمام,هاتف,سارة,6,2225.98,0,13355.88
2025-02-04,القاهرة,هاتف,أحمد,2,2521.57,0,5043.14
2025-02-05,القاهرة,لابتوب,يوسف,3,3666.96,15,9350.75
2025-02-06,القاهرة,لابتوب,سارة,6,3797.81,15,19368.83
2025-02-06,الرياض,شاشة,سارة,7,1303.01,15,7752.91
2025-02-12,دبي,لابتوب,أحمد,1,3645.94,0,3645.94
2025-02-14,دبي,لابتوب,يوسف,6,3935.49,10,21251.65
2025-02-16,القاهرة,طابعة,أحمد,7,799.61,0,5597.27
2025-02-16,القاهرة,لابتوب,سارة,8,4018.96,5,30544.1
2025-02-18,الدمام,سماعات,يوسف,6,394.47,0,2366.82
2025-02-18,الدمام,طابعة,سارة,4,872.74,0,3490.96
2025-02-20,الدمام,هاتف,أحمد,7,2061.7,0,14431.9
2025-02-20,القاهرة,شاشة,منى,4,1181.32,10,4252.75
2025-02-25,دبي,طابعة,أحمد,6,749.32,0,4495.92
2025-02-25,الرياض,هاتف,أحمد,3,2267.93,5,6463.6
2025-02-26,الرياض,هاتف,خالد,8,2175.56,0,17404.48
2025-02-26,الرياض,سماعات,سارة,2,388.03,5,737.26
2025-02-26,الدمام,شاشة,منى,3,1210.18,0,3630.54
2025-02-27,جدة,سماعات,سارة,4,368.66,0,1474.64
2025-03-01,الرياض,طابعة,يوسف,4,733.32,5,2786.62
2025-03-02,الرياض,هاتف,يوسف,3,2240.42,10,6049.13
2025-03-02,الرياض,طابعة,خالد,8,876.85,10,6313.32
2025-03-02,الرياض,هاتف,سارة,8,2365.23,0,18921.84
2025-03-03,الدمام,شاشة,أحمد,6,1206.38,0,7238.28
2025-03-03,جدة,طابعة,أحمد,2,742.57,0,1485.14
2025-03-03,الرياض,شاشة,أحمد,2,1160.68,15,1973.16
2025-03-04,جدة,طابعة,خالد,4,888.0,5,3374.4
2025-03-08,جدة,سماعات,أحمد,3,337.15,5,960.88
2025-03-10,جدة,لابتوب,سارة,4,3524.8,15,11984.32
2025-03-11,الرياض,سماعات,خالد,8,353.54,5,2686.9
2025-03-17,دبي,شاشة,خالد,6,1263.76,10,6824.3
2025-03-17,جدة,شاشة,خالد,8,1232.33,15,8379.84
2025-03-23,جدة,شاشة,يوسف,8,1128.84,0,9030.72
2025-03-25,دبي,لابتوب,أحمد,2,3594.25,0,7188.5
2025-03-27,القاهرة,هاتف,منى,5,2395.68,15,10181.64
2025-04-01,الدمام,سماعات,,6,385.32,0,2311.92
2025-04-03,الدمام,هاتف,يوسف,6,2080.63,5,11859.59
2025-04-04,جدة,طابعة,منى,4,822.85,5,3126.83
2025-04-06,جدة,سماعات,سارة,3,318.78,0,956.34
2025-04-06,الرياض,سماعات,منى,4,375.61,5,1427.32
2025-04-07,الدمام,شاشة,خالد,7,1371.09,15,8157.99
2025-04-09,الرياض,هاتف,سارة,4,2257.6,0,9030.4
2025-04-10,دبي,هاتف,سارة,5,2325.77,0,11628.85
2025-04-11,الدمام,لابتوب,خالد,5,3468.62,10,15608.79
2025-04-17,الرياض,سماعات,أحمد,1,354.98,15,301.73
2025-04-18,الرياض,شاشة,منى,8,1247.56,15,8483.41
2025-04-21,الدمام,شاشة,يوسف,1,1198.19,0,1198.19
2025-04-21,الرياض,طابعة,أحمد,4,737.02,0,2948.08
2025-04-25,دبي,طابعة,منى,3,851.51,5,2426.8
2025-04-26,القاهرة,طابعة,خالد,2,869.15,0,1738.3
2025-04-27,الدمام,هاتف,أحمد,3,2202.58,0,6607.74
2025-04-27,الرياض,سماعات,يوسف,7,329.28,15,1959.22
2025-04-27,جدة,هاتف,يوسف,5,2378.29,0,11891.45
2025-04-27,دبي,شاشة,أحمد,3,1352.97,10,3653.02
2025-04-28,القاهرة,هاتف,منى,4,2106.9,5,8006.22
2025-05-01,الرياض,طابعة,أحمد,4,782.33,5,2972.85
2025-05-01,القاهرة,لابتوب,منى,6,3352.46,5,19109.02
2025-05-03,جدة,شاشة,يوسف,7,1121.88,0,7853.16
2025-05-04,الدمام,سماعات,سارة,1,343.4,5,326.23
2025-05-07,القاهرة,طابعة,أحمد,8,918.79,0,7350.32
2025-05-08,القاهرة,لابتوب,خالد,4,3588.03,10,12916.91
2025-05-09,جدة,لابتوب,خالد,4,3217.79,0,12871.16
2025-05-09,الرياض,طابعة,أحمد,3,722.49,5,2059.1
2025-05-09,الدمام,لابتوب,خالد,6,3959.74,0,23758.44
2025-05-10,القاهرة,طابعة,خالد,3,754.15,0,2262.45
2025-05-11,القاهرة,هاتف,خالد,4,2514.07,10,9050.65
2025-05-12,جدة,شاشة,أحمد,7,1170.59,5,7784.42
2025-05-13,الرياض,لابتوب,يوسف,5,3371.56,5,16014.91
2025-05-13,دبي,شاشة,سارة,4,1170.25,15,3978.85
2025-05-15,دبي,هاتف,أحمد,8,2139.97,0,17119.76
2025-05-18,القاهرة,شاشة,أحمد,1,1323.59,10,1191.23
2025-05-27,جدة,هاتف,خالد,5,2504.01,10,11268.05
2025-05-28,جدة,لابتوب,أحمد,7,3544.5,15,21089.77
2025-06-01,دبي,سماعات,منى,4,347.23,0,1388.92
2025-06-07,دبي,هاتف,سارة,1,2418.39,0,2418.39
2025-06-08,جدة,شاشة,يوسف,8,1371.67,0,10973.36
2025-06-09,جدة,شاشة,أحمد,7,1303.75,5,8669.94
2025-06-09,القاهرة,لابتوب,منى,4,3586.02,0,14344.08
2025-06-11,القاهرة,لابتوب,سارة,1,3620.29,0,3620.29
2025-06-13,دبي,لابتوب,يوسف,2,3412.81,0,6825.62
2025-06-14,الدمام,سماعات,منى,4,358.13,15,1217.64
2025-06-16,القاهرة,لابتوب,,3,3178.21,10,8581.17
2025-06-21,القاهرة,لابتوب,خالد,5,3934.69,5,18689.78
2025-06-21,الدمام,لابتوب,أحمد,5,3992.13,10,17964.59
2025-06-22,الدمام,شاشة,سارة,5,1252.28,0,6261.4
2025-06-23,الرياض,شاشة,أحمد,4,1244.1,5,4727.58
2025-06-25,جدة,سماعات,أحمد,4,335.2,0,1340.8
2025-06-26,الرياض,لابتوب,يوسف,8,3224.38,0,25795.04
